BIB_ID	VENDOR_CODE	bibtype	date	form	place	language	govdoc	publisher	fund	poofid
10382088	AMAZON	am	2018	b	nyu	eng	\	Pearson	1340	8257
10382088	AMAZON	am	2018	b	nyu	eng	\	Pearson	1340	8257
10382088	AMAZON	am	2018	b	nyu	eng	\	Pearson	1340	8257
10381834	AMAZON	am	2017	c	enk	eng	\	MACK	p6794	15034
10381797	AMAZON	am	2018	\	enk	eng	\	MACK	p6794	15035
5865540	AMAZON	am	2006	b	sg\	eng	\	Codesria	p2952	15094
10381794	AMAZON	am	2017	b	txu	eng	\	Baylor University Press	p2860	15037
10381515	AMAZON	am	2018	\	nyu	eng	\	McGraw-Hill Education	1341	14997
10381515	AMAZON	am	2018	\	nyu	eng	\	McGraw-Hill Education	1341	14997
10381515	AMAZON	am	2018	\	nyu	eng	\	McGraw-Hill Education	1341	14997
10381515	AMAZON	am	2018	\	nyu	eng	\	McGraw-Hill Education	1341	14997
10380804	AMAZON	am	2017	\	mau	eng	\	Houghton Mifflin Harcourt	p4350	15023
10381381	AMAZON	am	2008	b	mau	eng	\	Focus Pub./R. Pullins	p7358	14976
9924551	AMAZON	am	2017	b	mau	eng	\	Pearson	p6551	6691
9924551	AMAZON	am	2017	b	mau	eng	\	Pearson	p6551	6691
9924551	AMAZON	am	2017	b	mau	eng	\	Pearson	p6551	6691
10380069	AMAZON	am	2018	\	cb\	eng	\	Pannasastra University of Cambodia Press	8110	15020
10380082	AMAZON	am	2016	b	miu	eng	\	William B. Eerdmans Publishing Company	p7350	14987
10380368	AMAZON	am	2018	b	nyu	eng	\	PublicAffairs	p7358	14995
10380022	AMAZON	am	2017	\	nyu	eng	\	Alfred A. Knopf	2513	14994
10380024	AMAZON	am	2013	b	miu	eng	\	William B. Eerdmans Publishing Company	p2259	14986
10380027	AMAZON	am	2016	b	ilu	eng	\	Cambridge Business Publishers, LLC	591	14983
10378458	AMAZON	am	2017	b	gw\	eng	\	Lit	p2952	14967
10378456	AMAZON	am	2018	\	xx\	eng	\	OUP INDIA	2010	14969
10377994	AMAZON	gm	2017	\	vau	eng	\	PBS Distribution	6343	14917
